Episode,Step,Time,Robot,Reward,Goal Reached,Location,Collision
0,18,05/23/2023 12:00:25,robot_1,-0.8820167821241758,None,,0
0,18,05/23/2023 12:00:25,robot_2,-0.1,None,,0
0,19,05/23/2023 12:00:27,robot_0,8.852361886400818,None,,0
0,19,05/23/2023 12:00:27,robot_1,-0.8608665740111787,None,,0
0,19,05/23/2023 12:00:27,robot_2,-0.1,None,,0
0,20,05/23/2023 12:00:30,robot_0,8.881359116839159,None,,0
0,20,05/23/2023 12:00:30,robot_1,-0.8555174761997271,None,,0
0,20,05/23/2023 12:00:30,robot_2,-0.1,None,,0
0,21,05/23/2023 12:00:32,robot_0,-1.0952523685953959,None,,0
0,21,05/23/2023 12:00:32,robot_1,-0.8448492100446842,None,,0
0,21,05/23/2023 12:00:32,robot_2,10.0,None,,0
0,22,05/23/2023 12:00:34,robot_0,-1.1077099600969533,None,,0
0,22,05/23/2023 12:00:34,robot_1,-0.8053309332967408,None,,0
0,22,05/23/2023 12:00:34,robot_2,9.387919093263628,None,,0
0,23,05/23/2023 12:00:35,robot_0,8.881989839213057,None,,0
0,23,05/23/2023 12:00:35,robot_1,9.340116758143969,None,,0
0,23,05/23/2023 12:00:35,robot_2,9.333425985809232,None,,0
0,24,05/23/2023 12:00:37,robot_0,8.770653787311408,None,,0
0,24,05/23/2023 12:00:37,robot_1,9.343485303487297,None,,0
0,24,05/23/2023 12:00:37,robot_2,9.270382113584956,None,,0
0,25,05/23/2023 12:00:39,robot_0,8.65847620307196,None,,0
0,25,05/23/2023 12:00:39,robot_1,9.365678894812639,None,,0
0,25,05/23/2023 12:00:39,robot_2,9.21742380183935,None,,0
0,26,05/23/2023 12:00:41,robot_0,8.43456428598221,None,,0
0,26,05/23/2023 12:00:41,robot_1,-0.6856765270977593,None,,0
0,26,05/23/2023 12:00:41,robot_2,9.151900770280745,None,,0
0,27,05/23/2023 12:00:43,robot_0,-1.8126521685692716,None,,0
0,27,05/23/2023 12:00:43,robot_1,-0.6822301226169111,None,,0
0,27,05/23/2023 12:00:43,robot_2,9.078686425953416,None,,0
0,28,05/23/2023 12:00:45,robot_0,-1.626756108652092,None,,0
0,28,05/23/2023 12:00:45,robot_1,-0.7312531332734032,None,,0
0,28,05/23/2023 12:00:45,robot_2,8.926473156191634,None,,0
0,29,05/23/2023 12:00:47,robot_0,-1.354946266222012,None,,0
0,29,05/23/2023 12:00:47,robot_1,-0.7591165006122,None,,0
0,29,05/23/2023 12:00:47,robot_2,8.705521957581757,None,,0
